codeInseeImmo,valeur_moyenne_fonciere,local_total,local_maison,local_appart
1053,2129,122,19,103
1398,1670,6,4,2
1230,2021,2,2,0
1333,3459,2,0,2
1007,2422,11,11,0
1004,4031,42,20,22
1419,6376,29,14,15
1396,1571,3,2,1
1130,1804,6,6,0
1143,7302,50,10,40
1431,2226,7,5,2
1160,5273,31,3,28
1344,1739,8,7,1
1241,1945,5,5,0
1025,2014,5,5,0
1095,1969,5,5,0
1180,6379,5,4,1
1244,3231,20,12,8
1350,2548,13,12,1
1173,7364,67,22,45
1112,2273,2,2,0
1204,2371,2,2,0
1170,1394,2,2,0
1231,1894,5,5,0
1108,1371,5,5,0
1322,3942,10,10,0
1347,3819,6,6,0
1389,2548,5,4,1
1305,8790,9,2,7
1224,5237,13,3,10
1303,1669,9,9,0
1030,2321,3,0,3
1301,1644,3,1,2
1399,4475,13,3,10
1450,2867,8,8,0
1269,1651,16,2,14
1348,2114,7,7,0
1185,3808,17,5,12
1443,2567,15,7,8
1281,4975,16,2,14
1071,10594,18,11,7
1124,1984,12,12,0
1354,4984,56,9,47
1105,3371,6,2,4
1121,615,1,1,0
1289,2223,13,10,3
1360,4996,14,10,4
1339,3762,4,4,0
1345,2159,4,3,1
1308,2842,2,2,0
1288,4352,17,10,7
1033,2558,66,15,51
1379,1363,3,2,1
1435,4940,13,10,3
1264,1968,2,2,0
1266,2150,2,2,0
1166,3194,12,10,2
1027,4207,3,3,0
1283,2533,56,14,42
1320,2064,8,5,3
1291,2471,3,3,0
1365,2794,3,3,0
1127,2340,3,3,0
1383,2591,5,5,0
1005,3198,7,6,1
1076,695,2,2,0
1054,3102,4,4,0
1238,4115,6,6,0
1352,1389,1,1,0
1064,1836,4,2,2
1008,2955,3,3,0
1194,2983,5,4,1
1093,2433,12,3,9
1142,3510,12,8,4
1043,4391,6,5,1
1089,4350,11,9,2
1376,14852,14,6,8
1457,2467,9,8,1
1444,1661,5,4,1
1249,3706,20,8,12
1188,1714,1,1,0
1109,3696,10,6,4
1202,2324,23,13,10
1163,1958,9,9,0
1092,2914,4,4,0
1325,2890,3,3,0
1263,3174,14,11,3
1285,6763,5,3,2
1314,2316,3,3,0
1210,3181,8,1,7
1152,1961,5,5,0
1206,1418,2,2,0
1034,2066,17,6,11
1140,2214,6,6,0
1451,2054,22,16,6
1082,2059,2,2,0
1313,5557,34,14,20
1103,4553,7,4,3
1371,3342,4,3,1
1378,3242,8,8,0
1262,2849,28,9,19
1304,1549,7,6,1
1138,2128,5,4,1
1134,2481,1,1,0
1232,1578,1,1,0
1388,1520,1,1,0
1343,4447,14,8,6
1179,2710,3,3,0
1010,2469,3,2,1
1390,2484,2,2,0
1422,2235,5,4,1
1405,1886,3,2,1
1423,4105,2,2,0
1058,2069,11,10,1
1012,2673,2,2,0
1155,1280,1,1,0
1416,2193,2,2,0
1247,1939,6,0,6
1434,2065,2,2,0
1299,4458,1,1,0
1060,3845,3,1,2
1243,4321,6,6,0
1275,10226,10,5,5
1199,1737,8,8,0
1156,3469,1,1,0
1439,2424,1,1,0
1284,2652,2,2,0
1098,2128,2,2,0
1367,2948,4,4,0
1276,2964,3,3,0
1227,1728,3,3,0
1403,2908,7,7,0
1039,1750,1,1,0
1115,2207,6,4,2
1254,5918,9,3,6
1016,858,2,2,0
1153,4903,8,6,2
1014,2035,10,3,7
1391,1811,2,2,0
1031,2916,11,2,9
1065,3311,3,3,0
1250,2155,4,4,0
1181,2256,4,3,1
1306,1673,8,2,6
1272,2284,4,3,1
1061,2151,3,3,0
1022,2166,3,2,1
1407,5449,10,5,5
1317,1549,2,2,0
1356,2727,2,2,0
1102,1096,1,1,0
1401,4655,5,2,3
1149,1967,2,2,0
1151,3988,1,1,0
1426,2151,7,7,0
1436,4296,1,1,0
1135,4913,3,2,1
1001,2208,1,1,0
1190,911,1,1,0
1319,2095,1,1,0
1248,2466,5,3,2
1139,1896,3,3,0
1410,1299,1,1,0
1338,2000,4,4,0
1133,2022,2,2,0
1427,3003,16,11,5
1448,2392,2,0,2
1183,2102,3,1,2
1370,2542,8,0,8
1363,2277,1,1,0
1118,2727,3,2,1
1216,5416,3,3,0
1123,1393,3,3,0
1015,1421,1,1,0
1239,1785,2,2,0
1294,3809,10,10,0
1290,3102,3,3,0
1452,1119,6,3,3
1187,2382,7,4,3
1159,1914,4,4,0
1430,3045,3,3,0
1158,2823,4,4,0
1374,2686,8,8,0
1072,2599,3,3,0
1373,359,1,1,0
1148,2328,7,4,3
1193,2267,2,2,0
1246,2736,6,6,0
1104,1539,3,3,0
1213,1971,2,1,1
1258,3140,3,3,0
1047,3557,4,3,1
1088,4028,3,3,0
1196,1445,2,2,0
1125,1560,3,2,1
1024,1661,5,2,3
1429,2219,2,2,0
1113,2250,2,2,0
1297,3255,2,2,0
1240,1944,4,4,0
1021,2948,3,3,0
1433,1250,2,2,0
1083,3047,2,2,0
1192,1908,5,4,1
1017,1713,4,4,0
1075,2115,5,3,2
1219,1190,1,1,0
1044,2521,5,2,3
1353,2864,1,1,0
1361,2718,3,3,0
1229,2378,4,4,0
1273,1282,3,3,0
1236,1686,4,4,0
1447,2038,3,3,0
1257,2750,1,1,0
1252,2638,2,2,0
1235,1973,2,2,0
1147,1000,1,1,0
1084,1418,5,1,4
1051,571,1,1,0
1446,3379,7,1,6
1420,975,3,0,3
1087,2228,2,2,0
1334,1464,1,1,0
1203,2202,1,1,0
1116,1907,3,3,0
1046,1558,3,3,0
1209,3004,4,4,0
1049,3341,7,6,1
1384,959,4,3,1
1094,2255,4,4,0
1211,2354,3,3,0
1274,1170,2,2,0
1057,3394,1,1,0
1406,2214,1,1,0
1073,1038,5,5,0
1321,1680,2,2,0
1255,1685,4,3,1
1165,3281,4,4,0
1032,3810,2,2,0
1080,2478,2,2,0
1337,2023,2,2,0
1265,2159,15,1,14
1346,3095,2,2,0
1445,1748,5,3,2
1237,1252,1,1,0
1404,4232,2,2,0
1136,2664,2,2,0
1454,2670,1,1,0
1195,2165,3,2,1
1099,3373,3,3,0
1096,2028,2,2,0
1381,2828,3,3,0
1011,4408,6,0,6
1362,1790,1,1,0
1167,2432,4,4,0
1038,2462,3,3,0
1369,1992,2,1,1
1074,1917,5,4,1
1437,1895,1,1,0
1336,1580,4,3,1
1375,2298,1,1,0
1245,3576,2,2,0
1364,1224,1,1,0
1358,1197,2,2,0
1424,3466,2,0,2
1150,2841,3,3,0
1078,5122,3,2,1
1069,2364,2,2,0
1415,1769,1,1,0
1385,3605,1,1,0
1295,3686,1,1,0
1372,496,1,1,0
1408,1585,3,3,0
1169,2983,3,3,0
1184,2058,1,1,0
1171,2928,4,4,0
1107,1947,1,1,0
1397,5540,2,1,1
1380,863,2,2,0
1026,2599,3,3,0
1146,2495,2,2,0
1129,3750,1,1,0
1214,905,1,1,0
1421,1737,2,2,0
1177,2438,1,1,0
1145,2625,1,1,0
1386,2347,4,3,1
1036,1120,3,3,0
1028,3211,1,1,0
1157,2595,2,1,1
1332,2374,1,1,0
1261,2306,1,1,0
1009,2658,3,3,0
1081,1538,1,0,1
1432,1559,1,1,0
1212,1558,2,2,0
1307,3885,2,0,2
1387,2367,2,2,0
1366,3388,1,1,0
1041,3314,1,1,0
1056,357,1,1,0
1368,2194,1,1,0
1175,2498,1,1,0
1267,2754,1,1,0
1233,1400,1,1,0
1318,4025,1,1,0
1425,2198,1,1,0
1067,1860,1,1,0
1335,2750,1,1,0
1002,3225,1,1,0
2408,1848,204,118,86
2411,1279,3,3,0
2315,1598,17,17,0
2405,1028,4,4,0
2299,1566,2,2,0
2798,1692,7,7,0
2468,947,24,24,0
2168,2211,138,77,61
2376,1050,1,1,0
2593,2018,10,10,0
2656,1721,9,9,0
2540,1614,13,13,0
2260,1480,6,6,0
2173,2717,146,103,43
2601,2143,1,1,0
2707,1850,4,4,0
2297,1914,9,9,0
2422,833,7,7,0
2094,1961,2,2,0
2109,1515,3,3,0
2483,1364,2,2,0
2691,2486,543,318,225
2750,1243,6,6,0
2398,1302,3,3,0
2725,787,2,2,0
2093,1057,6,6,0
2458,2169,13,11,2
2188,10363,4,4,0
2230,1463,3,3,0
2159,783,3,3,0
2243,4452,32,20,12
2328,1553,6,6,0
2420,905,10,10,0
2355,1435,4,4,0
2360,1513,15,15,0
2805,2846,23,17,6
2007,914,1,1,0
2381,1638,121,101,20
2524,1582,5,5,0
2684,873,39,39,0
2572,1566,7,7,0
2738,1241,95,93,2
2262,1147,6,6,0
2013,1388,4,4,0
2304,1465,37,24,13
2053,1153,5,5,0
2347,4196,16,16,0
2287,934,3,3,0
2730,1267,6,6,0
2569,531,2,2,0
2095,1095,40,34,6
2445,784,3,3,0
2465,1871,12,12,0
2327,1472,1,1,0
2459,1320,3,3,0
2785,699,8,8,0
2389,1287,4,4,0
2575,1410,24,17,7
2322,959,5,5,0
2040,356,2,2,0
2498,1129,8,8,0
2074,852,6,6,0
2457,1022,5,5,0
2337,780,1,1,0
2831,862,6,6,0
2141,1987,18,8,10
2506,3809,5,5,0
2031,1763,8,7,1
2497,2407,13,13,0
2172,1887,7,7,0
2722,3076,214,82,132
2195,1558,9,9,0
2379,958,5,5,0
2028,1273,19,19,0
2782,1346,1,1,0
2187,1830,9,9,0
2245,2612,15,14,1
2403,855,7,7,0
2037,1322,11,11,0
2128,1610,11,11,0
2613,1422,12,6,6
2150,1758,2,2,0
2546,1304,5,5,0
2384,602,2,2,0
2757,967,4,4,0
2061,263,3,3,0
2427,583,1,1,0
2059,1146,26,25,1
2295,1288,6,6,0
2745,1364,1,1,0
2157,1587,6,6,0
2169,786,2,2,0
2449,1262,2,2,0
2167,1306,9,8,1
2755,1902,6,6,0
2361,1405,46,38,8
2008,1465,4,4,0
2228,940,3,3,0
2255,800,4,4,0
2064,2835,42,37,5
2544,1273,6,6,0
2810,2719,72,32,40
2134,1037,12,12,0
2680,1315,23,23,0
2648,792,9,9,0
2340,1311,36,35,1
2549,14861,13,4,9
2813,1431,2,2,0
2101,1359,6,6,0
2319,1764,3,3,0
2311,1211,3,3,0
2741,727,8,8,0
2303,2131,14,14,0
2783,970,4,4,0
2298,733,12,12,0
2334,1027,13,12,1
2249,1114,2,2,0
2051,1392,4,4,0
2555,2901,17,12,5
2804,2091,2,2,0
2834,1826,4,4,0
2795,2372,23,16,7
2179,1267,12,12,0
2313,1125,3,3,0
2305,1485,28,24,4
2432,1314,3,3,0
2794,2236,5,5,0
2382,1652,18,18,0
2672,1553,4,4,0
2057,932,10,10,0
2734,2772,3,3,0
2580,1305,9,9,0
2558,2841,21,21,0
2758,1977,35,34,1
2704,1335,3,3,0
2126,905,7,7,0
2448,806,2,2,0
2388,577,5,5,0
2211,1194,7,7,0
2083,1223,5,5,0
2366,479,4,4,0
2321,573,4,4,0
2670,1307,4,4,0
2476,895,6,6,0
2035,756,1,1,0
2495,1101,4,4,0
2599,1277,2,2,0
2618,697,4,4,0
2220,3347,13,13,0
2701,1561,7,7,0
2292,1897,10,10,0
2185,2492,4,4,0
2065,1002,3,3,0
2039,391,1,1,0
2429,1541,2,2,0
2387,1627,15,13,2
2716,1056,3,3,0
2336,1278,12,12,0
2103,1057,16,16,0
2766,1614,2,2,0
2174,1056,7,7,0
2009,1338,7,7,0
2352,871,3,3,0
2163,2959,21,14,7
2346,1147,1,1,0
2050,980,4,4,0
2668,743,7,7,0
2491,658,3,3,0
2820,1522,11,11,0
2238,1093,14,13,1
2817,1027,2,2,0
2450,1232,10,10,0
2186,1807,9,9,0
2133,582,5,5,0
2643,1872,7,7,0
2237,1062,7,7,0
2780,1495,14,13,1
2124,1736,6,6,0
2371,1219,7,7,0
2203,1005,10,10,0
2162,1213,3,3,0
2637,489,2,2,0
2241,1247,2,2,0
2543,2007,26,21,5
2112,1149,3,3,0
2431,1494,5,5,0
2142,2138,3,3,0
2213,3276,6,3,3
2683,1115,3,3,0
2697,528,2,2,0
2231,3098,8,8,0
2788,1316,8,8,0
2521,1722,22,19,3
2410,1796,7,7,0
2070,1103,5,5,0
2058,1163,8,8,0
2677,1436,4,4,0
2145,1461,3,3,0
2330,1779,6,6,0
2338,1594,1,1,0
2239,1723,10,10,0
2056,1764,2,2,0
2290,1744,13,13,0
2777,750,1,1,0
2362,928,4,4,0
2673,772,7,7,0
2477,1716,10,9,1
2041,1230,9,9,0
2318,2375,12,10,2
2029,800,3,3,0
2679,1684,1,1,0
2719,1181,11,11,0
2201,4521,7,7,0
2372,1900,6,6,0
2658,1461,3,3,0
2689,1733,1,1,0
2209,989,8,8,0
2154,2041,3,3,0
2412,473,1,1,0
2608,666,5,5,0
2504,1056,11,11,0
2737,294,1,1,0
2502,768,13,13,0
2606,1323,3,3,0
2111,1367,3,3,0
2044,2028,4,4,0
2217,1363,9,9,0
2778,1056,2,2,0
2624,424,6,6,0
2711,1071,3,3,0
2720,1464,22,18,4
2137,1279,2,2,0
2399,1007,4,4,0
2073,2101,3,3,0
2374,1036,12,6,6
2541,1137,4,4,0
2596,2025,6,6,0
2714,2013,7,6,1
2821,1182,4,4,0
2306,955,9,9,0
2307,1946,25,20,5
